region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,custcat,churn
2,13,44,1,9,64.000,4,5,0.000,0,2,0,0,1,0,3.700,0.000,0.000,7.500,0.000,37.450,0.000,0.000,110.000,0.000,0,0,0,0,0,0,1,0,0,1,1
3,11,33,1,7,136.000,5,5,0.000,0,6,1,0,1,1,4.400,20.750,0.000,15.250,35.700,42.000,211.450,0.000,125.000,380.350,0,1,1,0,1,1,1,1,0,4,1
3,68,52,1,24,116.000,1,29,0.000,1,2,1,0,1,0,18.150,18.000,0.000,30.250,0.000,1300.600,1247.200,0.000,2150.000,0.000,0,0,0,0,1,1,0,1,0,3,0
2,33,33,0,12,33.000,2,0,0.000,1,1,0,0,0,0,9.450,0.000,0.000,0.000,0.000,288.800,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,1,1
2,23,30,1,9,30.000,1,2,0.000,0,4,0,0,0,0,6.300,0.000,0.000,0.000,0.000,157.050,0.000,0.000,0.000,0.000,0,0,0,0,1,0,1,1,0,3,0
2,41,39,0,17,78.000,2,16,0.000,1,1,1,0,1,0,11.800,19.250,0.000,13.500,0.000,487.400,798.400,0.000,570.000,0.000,0,0,0,0,1,1,0,0,0,3,0
3,45,22,1,2,19.000,2,4,0.000,1,5,0,0,1,0,10.900,0.000,0.000,8.750,0.000,504.500,0.000,0.000,415.000,0.000,1,0,0,1,0,1,0,0,1,2,1
2,38,35,0,5,76.000,2,10,0.000,0,3,1,1,1,1,6.050,45.000,50.100,23.250,64.900,239.550,1873.050,1820.900,880.000,2256.700,1,1,1,1,1,1,1,1,1,4,0
3,45,59,1,7,166.000,4,31,0.000,0,5,1,0,1,0,9.750,28.500,0.000,12.000,0.000,449.050,1240.150,0.000,505.000,0.000,1,0,0,0,1,1,1,1,0,3,0
1,68,41,1,21,72.000,1,22,0.000,0,3,0,0,1,0,24.150,0.000,0.000,16.500,0.000,1659.700,0.000,0.000,1155.000,0.000,1,0,0,0,0,0,0,0,0,2,0
2,5,33,0,10,125.000,4,5,0.000,1,1,0,1,0,0,4.850,0.000,26.150,0.000,0.000,17.250,0.000,110.100,0.000,0.000,0,0,1,1,0,0,0,0,1,1,1
3,7,35,0,14,80.000,2,15,0.000,1,1,1,0,1,0,7.100,22.000,0.000,23.750,0.000,47.450,166.100,0.000,145.000,0.000,0,1,0,0,1,1,1,1,0,3,0
1,41,38,1,8,37.000,2,9,0.000,1,3,0,0,1,0,8.550,0.000,0.000,41.750,0.000,308.700,0.000,0.000,1650.000,0.000,0,0,0,0,0,0,0,0,0,1,0
2,57,54,1,30,115.000,4,23,0.000,1,3,1,1,0,1,15.600,46.250,46.700,0.000,61.050,825.350,2624.250,2590.950,0.000,3348.850,1,1,1,1,1,1,1,1,1,4,1
2,9,46,0,3,25.000,1,8,0.000,1,2,0,0,0,0,4.400,0.000,0.000,0.000,0.000,36.800,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,1,0
1,29,38,1,12,75.000,5,1,0.000,0,4,0,1,1,0,5.100,0.000,30.250,11.250,0.000,146.250,0.000,780.800,295.000,0.000,1,0,0,1,0,0,0,0,0,2,0
3,60,57,0,38,162.000,2,30,0.000,0,1,1,1,1,0,16.150,29.750,31.300,30.000,0.000,946.900,1767.600,1788.950,1795.000,0.000,1,0,0,0,1,1,1,1,0,3,0
3,34,48,0,3,49.000,2,6,0.000,1,3,1,0,0,0,6.650,18.500,0.000,0.000,0.000,230.800,614.300,0.000,0.000,0.000,0,0,0,0,0,1,1,1,0,3,0
2,1,24,0,3,20.000,1,3,0.000,0,1,0,0,0,0,1.050,0.000,0.000,0.000,0.000,1.050,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,1,0
1,26,29,1,3,77.000,4,2,0.000,0,4,0,1,1,1,6.700,0.000,48.100,24.250,38.300,140.950,0.000,1132.800,610.000,910.100,1,1,0,1,1,1,1,1,1,4,1
3,6,30,0,7,16.000,3,1,0.000,1,1,0,1,0,1,3.750,0.000,33.800,0.000,18.700,25.650,0.000,175.300,0.000,78.200,1,0,1,1,0,1,0,0,0,2,1
1,68,52,1,17,120.000,1,24,0.000,0,2,0,0,1,0,20.700,0.000,0.000,22.000,0.000,1391.050,0.000,0.000,1505.000,0.000,0,0,0,0,0,0,1,0,0,1,0
3,53,33,0,10,101.000,5,4,0.000,1,2,0,1,1,1,5.300,0.000,49.600,26.750,51.400,253.350,0.000,2499.800,1340.000,2645.150,1,1,0,1,0,1,1,1,1,4,0
3,55,48,1,19,67.000,1,25,0.000,0,3,0,0,1,0,15.050,0.000,0.000,27.250,0.000,810.450,0.000,0.000,1390.000,0.000,0,0,0,0,0,0,0,0,0,1,0
3,14,43,1,18,36.000,1,5,0.000,0,5,1,0,1,0,12.500,19.750,0.000,18.000,0.000,153.750,273.750,0.000,215.000,0.000,0,0,0,0,1,1,1,1,0,3,0
2,1,21,0,0,33.000,2,0,0.000,1,3,1,0,1,0,2.200,20.750,0.000,40.500,0.000,2.200,20.750,0.000,40.500,0.000,0,0,0,0,0,1,1,1,0,3,0
2,42,40,0,7,37.000,2,8,0.000,1,1,1,1,1,1,8.250,23.500,36.900,28.000,37.400,399.150,950.650,1532.900,1190.000,1562.000,1,1,0,1,1,1,0,1,1,4,0
3,25,33,1,11,31.000,1,5,0.000,0,4,0,0,0,0,9.100,0.000,0.000,0.000,0.000,234.950,0.000,0.000,0.000,0.000,1,0,0,0,1,0,1,0,0,3,0
1,9,21,1,1,17.000,2,2,0.000,1,3,0,0,0,0,2.900,0.000,0.000,0.000,0.000,25.250,0.000,0.000,0.000,0.000,0,0,0,0,1,0,0,0,0,1,0
2,13,33,1,9,19.000,4,0,0.000,1,2,0,1,0,0,5.550,0.000,27.350,0.000,0.000,75.250,0.000,330.650,0.000,0.000,1,0,0,1,0,0,0,1,1,2,0
1,56,37,1,6,36.000,1,13,0.000,1,2,0,1,1,0,10.600,0.000,31.100,18.250,0.000,582.600,0.000,1756.350,1005.000,0.000,1,0,0,1,0,0,0,0,1,2,0
1,71,53,1,27,155.000,5,12,0.000,0,2,1,0,1,1,21.000,56.000,0.000,34.000,49.950,1519.200,4064.300,0.000,2345.000,3646.900,1,1,0,1,0,0,1,1,1,4,0
1,35,50,1,26,140.000,2,21,0.000,1,4,1,0,1,0,6.500,27.500,0.000,35.000,0.000,247.550,1068.250,0.000,1215.000,0.000,0,0,0,0,0,1,1,1,0,3,0
1,11,27,1,8,55.000,5,0,0.000,0,3,0,1,0,0,4.800,0.000,19.550,0.000,0.000,54.100,0.000,220.400,0.000,0.000,1,0,0,1,0,0,0,0,0,2,0
2,60,46,1,13,163.000,3,24,0.000,0,2,1,1,1,1,33.900,38.250,44.650,13.750,55.250,1947.950,2326.350,2645.850,840.000,3125.950,1,1,1,1,0,1,1,1,1,4,0
3,20,35,1,11,52.000,4,0,0.000,0,2,0,1,0,0,4.250,0.000,30.550,0.000,0.000,82.700,0.000,547.150,0.000,0.000,1,0,0,1,0,0,0,0,1,2,1
2,54,60,0,38,211.000,4,25,0.000,0,1,1,1,1,1,21.150,39.250,46.350,54.250,54.850,1228.700,2102.250,2421.300,2785.000,2895.850,1,1,1,1,1,0,0,1,1,4,0
1,44,57,1,1,186.000,2,17,0.000,0,2,1,0,1,1,9.800,33.500,0.000,36.000,41.650,428.250,1379.550,0.000,1535.000,1826.700,1,1,0,0,1,1,1,1,0,3,0
1,11,41,1,0,39.000,1,1,0.000,1,2,1,0,1,0,6.550,29.250,0.000,19.750,0.000,67.800,303.650,0.000,200.000,0.000,0,1,0,0,1,1,1,1,0,3,1
